ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Nuclei NoBorder - Number of Objects	Nuclei NoBorder - Nucleus Area [µm²] - Mean per Well	Nuclei NoBorder - Nucleus Area [µm²] - StdDev per Well	Nuclei NoBorder - Nucleus Roundness - Mean per Well	Nuclei NoBorder - Nucleus Roundness - StdDev per Well	Nuclei NoBorder - Nucleus Width [µm] - Mean per Well	Nuclei NoBorder - Nucleus Width [µm] - StdDev per Well	Nuclei NoBorder - Nucleus Length [µm] - Mean per Well	Nuclei NoBorder - Nucleus Length [µm] - StdDev per Well	Nuclei NoBorder - Intensity Cell Alexa 647 Mean - Mean per Well	Nuclei NoBorder - Intensity Cell Alexa 647 Mean - StdDev per Well	Nuclei NoBorder - Hoechst Mean - Mean per Well	Nuclei NoBorder - Hoechst Mean - StdDev per Well	Nuclei NoBorder - Intensity Cytoplasm Alexa 647 Mean - Mean per Well	Nuclei NoBorder - Intensity Cytoplasm Alexa 647 Mean - StdDev per Well	Nuclei NoBorder - Intensity Nucleus Alexa 647 Mean - Mean per Well	Nuclei NoBorder - Intensity Nucleus Alexa 647 Mean - StdDev per Well	Nuclei NoBorder - DNA content - Mean per Well	Nuclei NoBorder - DNA content - StdDev per Well	Number of Analyzed Fields	Link
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	C2	3	2	1	1	17963	130.021493529	39.5279138285	0.938580489588	0.0721525924855	9.60869364114	1.77715828437	14.1821662375	2.77144831927	222.147361906	120.50114574	2679.60748	826.011524188	235.694834044	127.231998585	215.183130735	135.031870813	344022.012067	142212.376506	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=3.2
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	C3	3	3	1	1	10586	116.507139494	27.8424521416	0.945097448565	0.0576997140738	9.14503930676	1.37228835411	13.3565254865	1.97999180576	28.464887558	6.85657476986	2635.23674189	811.186178812	25.9594073805	6.5284722902	32.0255223393	9.98885512558	301298.998459	109719.985988	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=3.3
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	C4	3	4	1	1	12620	117.285102225	29.2401995724	0.945218855577	0.0582067395525	9.16542086847	1.39206315057	13.4065006516	2.09914060902	31.6714555101	15.1018672291	2574.05238076	760.69743615	29.1627133101	15.0375179965	35.3488099061	16.9604028196	296688.000719	108286.083952	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=3.4
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	C5	3	5	1	1	11728	120.232771494	28.200658393	0.953761897039	0.0537250971728	9.41903715236	1.41744961953	13.4253132446	1.89685743255	36.7443784688	37.7820929454	2662.23131056	797.42282336	34.401895699	39.3506950767	40.8138374331	38.4875310688	316023.453487	116789.403801	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=3.5
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	C6	3	6	1	1	14049	124.73813841	35.2426544748	0.939289773388	0.0634464438806	9.35650718151	1.61412631295	13.9682951703	2.41758356448	54.8393861059	51.4311810105	2512.77521166	932.045533325	55.2602068639	52.6650371279	55.9613838333	54.1462334826	310924.567072	145018.077164	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=3.6
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	C7	3	7	1	1	15170	124.239185381	42.7908079258	0.909651179271	0.0811819320027	8.92172039317	1.63126371055	14.4496329966	3.31961875408	108.328456657	72.26762111	2707.29167093	1010.01417024	116.933044147	77.3161611873	103.93379884	75.8429319916	336016.037651	175921.119118	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=3.7
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	C8	3	8	1	1	15306	126.605533067	44.3356464651	0.909262419152	0.0833228760815	9.03628133763	1.73756373527	14.5388095854	3.37343522375	158.560357627	95.9739857923	2669.30708794	1008.18804419	173.029965254	105.110439013	149.547218399	98.1700811349	336204.442085	171569.800383	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=3.8
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	C9	3	9	1	1	15238	129.106731835	40.6159234859	0.925359498192	0.0796593095895	9.38269059987	1.70627158969	14.3813155195	3.06582089714	198.514887838	102.519647781	2747.06874029	961.55975446	212.299510673	111.655823713	190.553550348	109.91834477	351905.053677	162352.946809	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=3.9
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	C10	3	10	1	1	17417	129.047153971	40.3800107818	0.934587498823	0.0743173726224	9.50657925823	1.75262411016	14.2069848593	2.93198942933	214.146654558	117.434695898	2532.15997403	854.056580596	227.879112716	125.10269558	205.784815767	127.142560058	323982.689655	144210.674213	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=3.10
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	C11	3	11	1	1	15658	129.809641775	39.9218067054	0.938603704772	0.07298051168	9.59370901237	1.7452792645	14.1561404948	2.78788775381	218.287904948	120.254295319	2658.37638922	868.970258716	233.003173674	128.65472998	208.677798393	132.682876275	341569.166989	147715.833801	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=3.11
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	D2	4	2	1	1	16292	127.688908597	38.2076791469	0.940659203859	0.0692395795522	9.55333319899	1.69825814557	14.0017686011	2.72402198757	259.026529983	142.002157075	2778.49489398	882.189787193	272.103592549	149.871950943	255.793934581	159.344962882	350844.967486	148380.712044	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=4.2
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	D3	4	3	1	1	11634	115.133812234	28.545045391	0.943248615135	0.0576622185525	9.04822525192	1.39586820018	13.3234365954	2.01461922289	30.1047736078	7.3832980311	2704.18464058	722.989701694	27.0082112744	7.06336250794	34.5035786943	9.61403477474	306035.820911	105880.482852	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=4.3
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	D4	4	4	1	1	11205	116.758476939	29.245312152	0.943744033581	0.0581366263375	9.13347294898	1.38871013321	13.3925185904	2.08595180797	33.326973594	19.1768459103	2692.78819261	752.614172758	30.0668069158	18.9813426445	38.2166744258	21.7804620782	310492.648024	116058.440947	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=4.4
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	D5	4	5	1	1	13170	117.438963904	28.7257516771	0.947978523801	0.0568699428991	9.20572710897	1.38198656138	13.3931449086	2.03811552391	35.2002748049	22.8061721131	2539.00370662	729.212770215	31.9348799368	23.0170646395	40.1292924443	24.7747100249	293775.24079	108298.712306	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=4.5
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	D6	4	6	1	1	13459	118.057841569	30.0569978196	0.948610390796	0.0569908145639	9.25063338729	1.42435740542	13.4006467289	2.11941796028	37.9494695777	24.6696261198	2476.64748422	718.498485857	34.92268064	24.7128866085	42.7755042409	27.3052045719	287833.647139	106731.833	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=4.6
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	D7	4	7	1	1	12618	120.013621619	28.4511901492	0.954660068062	0.0535683896346	9.41262484045	1.40803282564	13.4028265943	1.92117428176	41.4877940143	30.0940703626	2500.46808763	723.674743269	38.7173967169	30.4014164473	46.5403893771	33.7958944228	296220.130617	109664.562638	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=4.7
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	D8	4	8	1	1	12690	123.513286234	29.7709200547	0.955464850633	0.0528607583269	9.59369483824	1.4933178721	13.5731726567	1.9223409376	46.4867130068	43.7822005969	2450.16987498	762.246742301	44.5089254215	44.4485728668	50.8667244056	48.9668897203	299049.513108	116549.565268	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=4.8
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	D9	4	9	1	1	12811	123.680407043	30.8209234631	0.949614399877	0.0572084457531	9.51600402565	1.48850136876	13.6840269028	2.05877749017	56.3085370151	51.4964957742	2446.71766519	787.125667096	55.1066489689	51.6631358997	59.7008590513	56.5970232878	300237.022411	123383.9806	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=4.9
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	D10	4	10	1	1	12514	125.703687726	32.2122368829	0.948578537805	0.0577341654501	9.56915699425	1.57660787524	13.8299296784	2.05847115349	64.0037605206	61.221848247	2407.17284843	748.989838429	64.7723275877	63.9437848094	65.1579104885	64.1322714435	299487.72319	118490.537175	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=4.10
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	D11	4	11	1	1	12649	123.581712377	32.6396877031	0.945280534181	0.0597387776176	9.42284114024	1.53742087017	13.7619897339	2.20942245613	71.9364229112	67.6501539732	2512.51347381	758.056202591	72.325460598	68.5483070145	73.6628116294	73.0864155276	308323.80469	124936.049587	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=4.11
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	E2	5	2	1	1	14694	129.594377663	37.030141869	0.949917928442	0.0651892838408	9.77305500942	1.72579920985	13.9092791384	2.47788099508	234.725296814	141.38809255	2911.98288983	859.07306081	240.84352954	149.346565106	237.115644171	155.628237516	372584.146755	145305.464509	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=5.2
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	E3	5	3	1	1	9992	113.948952066	24.5159326816	0.966063440715	0.0477028776218	9.30981205409	1.23613070158	12.8729906511	1.71484931208	191.926678183	141.188781561	2958.6760893	608.083329369	185.287619641	142.119240351	217.122544168	160.99968037	334509.636511	99613.4233339	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=5.3
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	E4	5	4	1	1	12964	118.78322835	25.6820890102	0.969142492228	0.043255822066	9.54540993561	1.2880307253	13.141353421	1.66411241393	220.215980225	151.1120027	2722.15484284	649.692836142	216.021535934	151.596659579	241.011477429	174.376806005	320619.216166	101166.398274	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=5.4
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	E5	5	5	1	1	14716	123.778501495	27.9485476222	0.963649325535	0.0480543481373	9.6866809497	1.37778926164	13.5143593031	1.8238976429	220.52049212	156.194271005	2659.58094817	774.929350456	218.832225976	158.096035271	236.023159494	177.681590305	327619.130101	122907.011491	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=5.5
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	E6	5	6	1	1	17203	126.929607795	35.575799062	0.942573886897	0.0635075329718	9.50580134912	1.59259749978	14.0428984065	2.4339649899	248.400409197	180.5853671	2433.44783377	787.461833382	263.377252407	187.647491652	239.587972681	193.352221777	307432.917306	133365.504244	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=5.6
