ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Nuclei NoBorder - Object No in Nuclei	Nuclei NoBorder - DNA content	Nuclei NoBorder - Intensity Nucleus Alexa 647 Mean	Nuclei NoBorder - Intensity Cytoplasm Alexa 647 Mean	Nuclei NoBorder - Hoechst Mean	Nuclei NoBorder - Intensity Cell Alexa 647 Mean	Nuclei NoBorder - Nucleus Length [µm]	Nuclei NoBorder - Nucleus Width [µm]	Nuclei NoBorder - Nucleus Roundness	Nuclei NoBorder - Nucleus Area [µm²]
20180320_HT29_EGF_8h	6335	20180320_P3_05perc_BckSub	21117	2018-03-23T16:14:35Z	25507	E3	5	3	1	1	1	1	935	68	[924,57,955,91]	1	296993	29.5375	27.2229	3763.24	27.4718	10.3696	7.9458	0.970387	78.9196
20180320_HT29_EGF_8h	6335	20180320_P3_05perc_BckSub	21117	2018-03-23T16:14:35Z	25507	E3	5	3	1	1	1	2	874	93	[861,81,901,109]	2	1123650	147.066	39.5593	9413.47	55.7388	12.6417	10.1289	0.930139	119.366
20180320_HT29_EGF_8h	6335	20180320_P3_05perc_BckSub	21117	2018-03-23T16:14:35Z	25507	E3	5	3	1	1	1	3	906	96	[884,83,914,110]	3	1032640	70.6559	34.2096	5627.82	50.5446	21.3947	8.42779	0.727558	183.488
20180320_HT29_EGF_8h	6335	20180320_P3_05perc_BckSub	21117	2018-03-23T16:14:35Z	25507	E3	5	3	1	1	1	4	691	101	[680,93,702,112]	4	425371	261.047	258.255	5072.87	259.088	10.7434	7.9458	0.96651	83.8521
20180320_HT29_EGF_8h	6335	20180320_P3_05perc_BckSub	21117	2018-03-23T16:14:35Z	25507	E3	5	3	1	1	1	5	671	106	[661,94,682,118]	5	977521	56.2699	80.5176	6079.16	69.5994	16.5306	11.2371	0.988567	160.799
20180320_HT29_EGF_8h	6335	20180320_P3_05perc_BckSub	21117	2018-03-23T16:14:35Z	25507	E3	5	3	1	1	1	6	915	107	[905,97,926,121]	6	517447	59.2033	39.8007	4264.48	45.4292	12.9119	9.93225	0.973168	121.339
20180320_HT29_EGF_8h	6335	20180320_P3_05perc_BckSub	21117	2018-03-23T16:14:35Z	25507	E3	5	3	1	1	1	7	704	112	[691,99,715,125]	7	445556	130.208	121.816	3474.28	124.262	13.7983	10.1289	1.00804	128.244
20180320_HT29_EGF_8h	6335	20180320_P3_05perc_BckSub	21117	2018-03-23T16:14:35Z	25507	E3	5	3	1	1	1	8	660	118	[650,108,670,133]	8	391331	43.699	35.9239	3851.34	38.0369	11.3245	8.42779	0.96939	101.609
20180320_HT29_EGF_8h	6335	20180320_P3_05perc_BckSub	21117	2018-03-23T16:14:35Z	25507	E3	5	3	1	1	1	9	897	118	[888,109,909,127]	9	380615	39.3111	30.47	4286.96	33.0619	10.5581	8.19034	0.961865	88.7845
20180320_HT29_EGF_8h	6335	20180320_P3_05perc_BckSub	21117	2018-03-23T16:14:35Z	25507	E3	5	3	1	1	1	10	684	124	[666,106,702,138]	10	1241440	40.1369	34.0634	4784.94	36.4368	23.0377	12.7195	0.785881	259.448
