AcquisitionType	Channel	ChannelColor	ChannelName	ChannelType	ImageResolutionX@um	ImageResolutionY@um	ImageResolutionZ@um	MainEmissionWavelength@nm	MainExcitationWavelength@nm	Plane	PositionX@um	PositionY@um	PositionZ@um	TimeOffset@s	Timepoint	AbsoluteTime@s	ImageBitPerPixel	ImageHeight	ImageWidth	NumberOfChannels	NumberOfPlanes	NumberOfTimepoints	Field	FieldID	ImageID	PlateRows	PlateColumns	PlateType	PlateName	ScreenName	ScreenID	PlateID	MeasurementID	UserID	MeasurementDate	Row	Column	WellName	WellID	OrientationMatrix	Compression	BufferNo	sourcefilename
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	-1350.785	0	-15	0	1	0	16	1024	1360	2	1	1	6	18723975	18706875	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	2	B2	3924572	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-6-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	1350.785	0	-15	0	1	0	16	1024	1360	2	1	1	7	18723983	18706883	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	2	B2	3924572	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-7-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	1350.785	0	-15	0	1	0	16	1024	1360	2	1	1	7	18723983	18706883	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	2	B2	3924572	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-7-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	-1350.785	-1017.062	-15	0	1	0	16	1024	1360	2	1	1	8	18723990	18706891	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	2	B2	3924572	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-8-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	-1350.785	-1017.062	-15	0	1	0	16	1024	1360	2	1	1	8	18723990	18706891	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	2	B2	3924572	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-8-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	-1017.062	-15	0	1	0	16	1024	1360	2	1	1	9	18723999	18706898	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	2	B2	3924572	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-9-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	-1017.062	-15	0	1	0	16	1024	1360	2	1	1	9	18723999	18706898	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	2	B2	3924572	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-9-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	1350.785	-1017.062	-15	0	1	1	16	1024	1360	2	1	1	10	18724007	18706907	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	2	B2	3924572	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-10-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	1350.785	-1017.062	-15	0	1	1	16	1024	1360	2	1	1	10	18724007	18706907	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	2	B2	3924572	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-10-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	-2034.124	-15	0	1	0	16	1024	1360	2	1	1	11	18724014	18706914	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	2	B2	3924572	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-11-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	-2034.124	-15	0	1	0	16	1024	1360	2	1	1	11	18724014	18706914	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	2	B2	3924572	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002002-11-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	0	-15	0	1	0	16	1024	1360	2	1	1	1	18723931	18706834	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-1-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	0	-15	0	1	0	16	1024	1360	2	1	1	1	18723931	18706834	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-1-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	2034.124	-15	0	1	0	16	1024	1360	2	1	1	2	18723942	18706839	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-2-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	2034.124	-15	0	1	0	16	1024	1360	2	1	1	2	18723942	18706839	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-2-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	1350.785	1017.062	-15	0	1	1	16	1024	1360	2	1	1	3	18723952	18706849	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-3-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	1350.785	1017.062	-15	0	1	1	16	1024	1360	2	1	1	3	18723952	18706849	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-3-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	1017.062	-15	0	1	0	16	1024	1360	2	1	1	4	18723958	18706860	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-4-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	1017.062	-15	0	1	0	16	1024	1360	2	1	1	4	18723958	18706860	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-4-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	-1350.785	1017.062	-15	0	1	0	16	1024	1360	2	1	1	5	18723964	18706866	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-5-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	-1350.785	1017.062	-15	0	1	0	16	1024	1360	2	1	1	5	18723964	18706866	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-5-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	-1350.785	0	-15	0	1	1	16	1024	1360	2	1	1	6	18723973	18706872	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-6-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	-1350.785	0	-15	0	1	1	16	1024	1360	2	1	1	6	18723973	18706872	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-6-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	1350.785	0	-15	0	1	0	16	1024	1360	2	1	1	7	18723981	18706881	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-7-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	1350.785	0	-15	0	1	0	16	1024	1360	2	1	1	7	18723981	18706881	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-7-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	-1350.785	-1017.062	-15	0	1	0	16	1024	1360	2	1	1	8	18723991	18706889	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-8-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	-1350.785	-1017.062	-15	0	1	0	16	1024	1360	2	1	1	8	18723991	18706889	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-8-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	-1017.062	-15	0	1	0	16	1024	1360	2	1	1	9	18724002	18706899	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-9-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	-1017.062	-15	0	1	0	16	1024	1360	2	1	1	9	18724002	18706899	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-9-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	1350.785	-1017.062	-15	0	1	0	16	1024	1360	2	1	1	10	18724008	18706910	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-10-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	1350.785	-1017.062	-15	0	1	0	16	1024	1360	2	1	1	10	18724008	18706910	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-10-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	-2034.124	-15	0	1	0	16	1024	1360	2	1	1	11	18724016	18706915	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-11-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	-2034.124	-15	0	1	0	16	1024	1360	2	1	1	11	18724016	18706915	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	3	B3	3924568	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002003-11-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	0	-15	0	1	0	16	1024	1360	2	1	1	1	18723934	18706830	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	4	B4	3924527	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002004-1-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	0	-15	0	1	0	16	1024	1360	2	1	1	1	18723934	18706830	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	4	B4	3924527	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002004-1-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	2034.124	-15	0	1	0	16	1024	1360	2	1	1	2	18723943	18706841	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	4	B4	3924527	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002004-2-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	0	2034.124	-15	0	1	0	16	1024	1360	2	1	1	2	18723943	18706841	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	4	B4	3924527	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002004-2-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	1350.785	1017.062	-15	0	1	0	16	1024	1360	2	1	1	3	18723951	18706850	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	4	B4	3924527	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002004-3-001001001.tif
WideField	2	14042180	Alexa 647	Fluorescence	0.993224514937	0.993224514937	0	705	630	1	1350.785	1017.062	-15	0	1	0	16	1024	1360	2	1	1	3	18723951	18706850	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	4	B4	3924527	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002004-3-001001002.tif
WideField	1	10495	HOECHST 33342	Fluorescence	0.993224514937	0.993224514937	0	445	380	1	0	1017.062	-15	0	1	0	16	1024	1360	2	1	1	4	18723960	18706858	8	12	96 Costar 3603 Verena	20180320_P1_10perc	20180320_HT29_EGF_8h	6335	21120	25510	1253	2018-03-23T18:19:07Z	2	4	B4	3924527	"[[1,0,0],[0,-1,0],[0,0,1]]"	LZW	0	002004-4-001001001.tif
